date,feature,users_adopted,total_users
05-08-2025,Export Report,2485,5105
05-08-2025,Advanced Filters,1387,5105
05-08-2025,Mobile App,2958,5105
05-08-2025,API Integration,827,5105
05-08-2025,Collaborative Editing,2020,5105
06-08-2025,Dark Mode,3206,4840
06-08-2025,Export Report,2119,4840
06-08-2025,Advanced Filters,1541,4840
06-08-2025,Mobile App,2674,4840
06-08-2025,API Integration,670,4840
06-08-2025,Collaborative Editing,1792,4840
07-08-2025,Dark Mode,3476,4953
07-08-2025,Export Report,2354,4953
07-08-2025,Advanced Filters,1395,4953
07-08-2025,Mobile App,2498,4953
07-08-2025,API Integration,758,4953
07-08-2025,Collaborative Editing,1805,4953
08-08-2025,Dark Mode,2883,4820
08-08-2025,Export Report,2268,4820
08-08-2025,Advanced Filters,1359,4820
08-08-2025,Mobile App,2582,4820
08-08-2025,API Integration,723,4820
08-08-2025,Collaborative Editing,2014,4820
09-08-2025,Dark Mode,3053,4675
09-08-2025,Export Report,2167,4675
09-08-2025,Advanced Filters,1480,4675
09-08-2025,Mobile App,2708,4675
09-08-2025,API Integration,767,4675
09-08-2025,Collaborative Editing,1789,4675
10-08-2025,Dark Mode,3667,5433
10-08-2025,Export Report,2472,5433
10-08-2025,Advanced Filters,1694,5433
10-08-2025,Mobile App,2935,5433
10-08-2025,API Integration,756,5433
10-08-2025,Collaborative Editing,2245,5433
11-08-2025,Dark Mode,3289,4645
11-08-2025,Export Report,1910,4645
11-08-2025,Advanced Filters,1381,4645
11-08-2025,Mobile App,2610,4645
11-08-2025,API Integration,662,4645
11-08-2025,Collaborative Editing,1823,4645
12-08-2025,Dark Mode,3338,4885
12-08-2025,Export Report,2327,4885
12-08-2025,Advanced Filters,1463,4885
12-08-2025,Mobile App,2898,4885
12-08-2025,API Integration,698,4885
12-08-2025,Collaborative Editing,1919,4885
13-08-2025,Dark Mode,3482,5127
13-08-2025,Export Report,2163,5127
13-08-2025,Advanced Filters,1658,5127
13-08-2025,Mobile App,2780,5127
13-08-2025,API Integration,722,5127
13-08-2025,Collaborative Editing,2025,5127
14-08-2025,Dark Mode,3111,5116
14-08-2025,Export Report,2182,5116
14-08-2025,Advanced Filters,1509,5116
14-08-2025,Mobile App,2673,5116
14-08-2025,API Integration,739,5116
14-08-2025,Collaborative Editing,1897,5116
15-08-2025,Dark Mode,3219,4894
15-08-2025,Export Report,2140,4894
15-08-2025,Advanced Filters,1558,4894
15-08-2025,Mobile App,2631,4894
15-08-2025,API Integration,777,4894
15-08-2025,Collaborative Editing,1881,4894
16-08-2025,Dark Mode,3029,4823
16-08-2025,Export Report,2276,4823
16-08-2025,Advanced Filters,1346,4823
16-08-2025,Mobile App,2456,4823
16-08-2025,API Integration,701,4823
16-08-2025,Collaborative Editing,2047,4823
17-08-2025,Dark Mode,2923,4952
17-08-2025,Export Report,2375,4952
17-08-2025,Advanced Filters,1506,4952
17-08-2025,Mobile App,2782,4952
17-08-2025,API Integration,746,4952
17-08-2025,Collaborative Editing,2129,4952
18-08-2025,Dark Mode,3401,5205
18-08-2025,Export Report,2415,5205
18-08-2025,Advanced Filters,1478,5205
18-08-2025,Mobile App,3071,5205
18-08-2025,API Integration,750,5205
18-08-2025,Collaborative Editing,2162,5205
19-08-2025,Dark Mode,3311,5197
19-08-2025,Export Report,2243,5197
19-08-2025,Advanced Filters,1615,5197
19-08-2025,Mobile App,2691,5197
19-08-2025,API Integration,826,5197
19-08-2025,Collaborative Editing,2204,5197
20-08-2025,Dark Mode,3509,5215
20-08-2025,Export Report,2489,5215
20-08-2025,Advanced Filters,1583,5215
20-08-2025,Mobile App,3006,5215
20-08-2025,API Integration,807,5215
20-08-2025,Collaborative Editing,2025,5215
21-08-2025,Dark Mode,3258,5133
21-08-2025,Export Report,2219,5133
21-08-2025,Advanced Filters,1393,5133
21-08-2025,Mobile App,2543,5133
21-08-2025,API Integration,727,5133
21-08-2025,Collaborative Editing,2014,5133
22-08-2025,Dark Mode,3186,4609
22-08-2025,Export Report,2252,4609
22-08-2025,Advanced Filters,1395,4609
22-08-2025,Mobile App,2616,4609
22-08-2025,API Integration,747,4609
22-08-2025,Collaborative Editing,1695,4609
23-08-2025,Dark Mode,2955,4604
23-08-2025,Export Report,1955,4604
23-08-2025,Advanced Filters,1279,4604
23-08-2025,Mobile App,2285,4604
23-08-2025,API Integration,642,4604
23-08-2025,Collaborative Editing,1917,4604
24-08-2025,Dark Mode,2913,4738
24-08-2025,Export Report,2043,4738
24-08-2025,Advanced Filters,1498,4738
24-08-2025,Mobile App,2384,4738
24-08-2025,API Integration,757,4738
24-08-2025,Collaborative Editing,1867,4738
25-08-2025,Dark Mode,3190,4836
25-08-2025,Export Report,2300,4836
25-08-2025,Advanced Filters,1310,4836
25-08-2025,Mobile App,2686,4836
25-08-2025,API Integration,777,4836
25-08-2025,Collaborative Editing,1924,4836
26-08-2025,Dark Mode,3192,5199
26-08-2025,Export Report,2542,5199
26-08-2025,Advanced Filters,1511,5199
26-08-2025,Mobile App,2665,5199
26-08-2025,API Integration,789,5199
26-08-2025,Collaborative Editing,2264,5199
27-08-2025,Dark Mode,3433,4901
27-08-2025,Export Report,2179,4901
27-08-2025,Advanced Filters,1365,4901
27-08-2025,Mobile App,2838,4901
27-08-2025,API Integration,777,4901
27-08-2025,Collaborative Editing,2015,4901
28-08-2025,Dark Mode,3557,5498
28-08-2025,Export Report,2718,5498
28-08-2025,Advanced Filters,1708,5498
28-08-2025,Mobile App,2766,5498
28-08-2025,API Integration,905,5498
28-08-2025,Collaborative Editing,2158,5498
29-08-2025,Dark Mode,3068,5116
29-08-2025,Export Report,2310,5116
29-08-2025,Advanced Filters,1561,5116
29-08-2025,Mobile App,2630,5116
29-08-2025,API Integration,838,5116
29-08-2025,Collaborative Editing,1913,5116
30-08-2025,Dark Mode,3561,5401
30-08-2025,Export Report,2673,5401
30-08-2025,Advanced Filters,1551,5401
30-08-2025,Mobile App,2840,5401
30-08-2025,API Integration,755,5401
30-08-2025,Collaborative Editing,2015,5401
31-08-2025,Dark Mode,3404,4786
31-08-2025,Export Report,2172,4786
31-08-2025,Advanced Filters,1452,4786
31-08-2025,Mobile App,2642,4786
31-08-2025,API Integration,733,4786
31-08-2025,Collaborative Editing,1824,4786
01-09-2025,Dark Mode,3026,5047
01-09-2025,Export Report,2439,5047
01-09-2025,Advanced Filters,1555,5047
01-09-2025,Mobile App,2589,5047
01-09-2025,API Integration,746,5047
01-09-2025,Collaborative Editing,1932,5047
02-09-2025,Dark Mode,2890,4925
02-09-2025,Export Report,2133,4925
02-09-2025,Advanced Filters,1503,4925
02-09-2025,Mobile App,2512,4925
02-09-2025,API Integration,727,4925
02-09-2025,Collaborative Editing,1990,4925
03-09-2025,Dark Mode,3306,5282
03-09-2025,Export Report,2485,5282
03-09-2025,Advanced Filters,1703,5282
03-09-2025,Mobile App,3160,5282
03-09-2025,API Integration,840,5282
03-09-2025,Collaborative Editing,2260,5282
04-09-2025,Dark Mode,3097,4853
04-09-2025,Export Report,2110,4853
04-09-2025,Advanced Filters,1346,4853
04-09-2025,Mobile App,2459,4853
04-09-2025,API Integration,755,4853
04-09-2025,Collaborative Editing,1847,4853
05-09-2025,Dark Mode,3577,5039
05-09-2025,Export Report,2182,5039
05-09-2025,Advanced Filters,1390,5039
05-09-2025,Mobile App,2786,5039
05-09-2025,API Integration,688,5039
05-09-2025,Collaborative Editing,1858,5039
06-09-2025,Dark Mode,3357,5309
06-09-2025,Export Report,2405,5309
06-09-2025,Advanced Filters,1684,5309
06-09-2025,Mobile App,3105,5309
06-09-2025,API Integration,869,5309
06-09-2025,Collaborative Editing,2261,5309
07-09-2025,Dark Mode,3265,5216
07-09-2025,Export Report,2475,5216
07-09-2025,Advanced Filters,1424,5216
07-09-2025,Mobile App,2589,5216
07-09-2025,API Integration,828,5216
07-09-2025,Collaborative Editing,2076,5216
08-09-2025,Dark Mode,2837,4792
08-09-2025,Export Report,2171,4792
08-09-2025,Advanced Filters,1562,4792
08-09-2025,Mobile App,2687,4792
08-09-2025,API Integration,763,4792
08-09-2025,Collaborative Editing,2031,4792
09-09-2025,Dark Mode,3773,5301
09-09-2025,Export Report,2607,5301
09-09-2025,Advanced Filters,1499,5301
09-09-2025,Mobile App,3096,5301
09-09-2025,API Integration,747,5301
09-09-2025,Collaborative Editing,1998,5301
10-09-2025,Dark Mode,3703,5215
10-09-2025,Export Report,2248,5215
10-09-2025,Advanced Filters,1674,5215
10-09-2025,Mobile App,2803,5215
10-09-2025,API Integration,754,5215
10-09-2025,Collaborative Editing,2267,5215
11-09-2025,Dark Mode,2920,4824
11-09-2025,Export Report,2112,4824
11-09-2025,Advanced Filters,1481,4824
11-09-2025,Mobile App,2472,4824
11-09-2025,API Integration,791,4824
11-09-2025,Collaborative Editing,2089,4824
12-09-2025,Dark Mode,3612,5324
12-09-2025,Export Report,2513,5324
12-09-2025,Advanced Filters,1601,5324
12-09-2025,Mobile App,2829,5324
12-09-2025,API Integration,852,5324
12-09-2025,Collaborative Editing,2048,5324
13-09-2025,Dark Mode,3277,4944
13-09-2025,Export Report,2034,4944
13-09-2025,Advanced Filters,1402,4944
13-09-2025,Mobile App,2953,4944
13-09-2025,API Integration,802,4944
13-09-2025,Collaborative Editing,2088,4944
14-09-2025,Dark Mode,3145,5252
14-09-2025,Export Report,2367,5252
14-09-2025,Advanced Filters,1649,5252
14-09-2025,Mobile App,3172,5252
14-09-2025,API Integration,808,5252
14-09-2025,Collaborative Editing,2046,5252
15-09-2025,Dark Mode,3562,5067
15-09-2025,Export Report,2488,5067
15-09-2025,Advanced Filters,1391,5067
15-09-2025,Mobile App,2804,5067
15-09-2025,API Integration,730,5067
15-09-2025,Collaborative Editing,1983,5067
16-09-2025,Dark Mode,3332,5333
16-09-2025,Export Report,2232,5333
16-09-2025,Advanced Filters,1524,5333
16-09-2025,Mobile App,2890,5333
16-09-2025,API Integration,837,5333
16-09-2025,Collaborative Editing,2063,5333
17-09-2025,Dark Mode,3468,4981
17-09-2025,Export Report,2212,4981
17-09-2025,Advanced Filters,1402,4981
17-09-2025,Mobile App,2570,4981
17-09-2025,API Integration,787,4981
17-09-2025,Collaborative Editing,1898,4981
18-09-2025,Dark Mode,2699,4604
18-09-2025,Export Report,1895,4604
18-09-2025,Advanced Filters,1391,4604
18-09-2025,Mobile App,2711,4604
18-09-2025,API Integration,622,4604
18-09-2025,Collaborative Editing,2002,4604
19-09-2025,Dark Mode,3091,4895
19-09-2025,Export Report,2048,4895
19-09-2025,Advanced Filters,1471,4895
19-09-2025,Mobile App,2671,4895
19-09-2025,API Integration,793,4895
19-09-2025,Collaborative Editing,2126,4895
20-09-2025,Dark Mode,3237,4738
20-09-2025,Export Report,2125,4738
20-09-2025,Advanced Filters,1310,4738
20-09-2025,Mobile App,2405,4738
20-09-2025,API Integration,753,4738
20-09-2025,Collaborative Editing,1906,4738
21-09-2025,Dark Mode,2939,4780
21-09-2025,Export Report,2021,4780
21-09-2025,Advanced Filters,1301,4780
21-09-2025,Mobile App,2704,4780
21-09-2025,API Integration,682,4780
21-09-2025,Collaborative Editing,1740,4780
22-09-2025,Dark Mode,3080,4964
22-09-2025,Export Report,2368,4964
22-09-2025,Advanced Filters,1452,4964
22-09-2025,Mobile App,2950,4964
22-09-2025,API Integration,680,4964
22-09-2025,Collaborative Editing,1810,4964
23-09-2025,Dark Mode,2927,4775
23-09-2025,Export Report,2059,4775
23-09-2025,Advanced Filters,1338,4775
23-09-2025,Mobile App,2562,4775
23-09-2025,API Integration,775,4775
23-09-2025,Collaborative Editing,1954,4775
24-09-2025,Dark Mode,3139,4546
24-09-2025,Export Report,2195,4546
24-09-2025,Advanced Filters,1274,4546
24-09-2025,Mobile App,2675,4546
24-09-2025,API Integration,733,4546
24-09-2025,Collaborative Editing,1836,4546
25-09-2025,Dark Mode,3110,4880
25-09-2025,Export Report,2261,4880
25-09-2025,Advanced Filters,1521,4880
25-09-2025,Mobile App,2758,4880
25-09-2025,API Integration,705,4880
25-09-2025,Collaborative Editing,1793,4880
26-09-2025,Dark Mode,3013,4975
26-09-2025,Export Report,2038,4975
26-09-2025,Advanced Filters,1476,4975
26-09-2025,Mobile App,2489,4975
26-09-2025,API Integration,756,4975
26-09-2025,Collaborative Editing,1943,4975
27-09-2025,Dark Mode,3052,4881
27-09-2025,Export Report,2333,4881
27-09-2025,Advanced Filters,1571,4881
27-09-2025,Mobile App,2777,4881
27-09-2025,API Integration,665,4881
27-09-2025,Collaborative Editing,1978,4881
28-09-2025,Dark Mode,3786,5412
28-09-2025,Export Report,2263,5412
28-09-2025,Advanced Filters,1692,5412
28-09-2025,Mobile App,3258,5412
28-09-2025,API Integration,858,5412
28-09-2025,Collaborative Editing,2053,5412
29-09-2025,Dark Mode,2920,4542
29-09-2025,Export Report,1842,4542
29-09-2025,Advanced Filters,1449,4542
29-09-2025,Mobile App,2428,4542
29-09-2025,API Integration,686,4542
29-09-2025,Collaborative Editing,1881,4542
30-09-2025,Dark Mode,2891,4562
30-09-2025,Export Report,2056,4562
30-09-2025,Advanced Filters,1319,4562
30-09-2025,Mobile App,2744,4562
30-09-2025,API Integration,743,4562
30-09-2025,Collaborative Editing,1960,4562
01-10-2025,Dark Mode,3069,5103
01-10-2025,Export Report,2453,5103
01-10-2025,Advanced Filters,1488,5103
01-10-2025,Mobile App,2896,5103
01-10-2025,API Integration,760,5103
01-10-2025,Collaborative Editing,1918,5103
02-10-2025,Dark Mode,3337,5057
02-10-2025,Export Report,2340,5057
02-10-2025,Advanced Filters,1623,5057
02-10-2025,Mobile App,2665,5057
02-10-2025,API Integration,708,5057
02-10-2025,Collaborative Editing,1973,5057
03-10-2025,Dark Mode,3469,5063
03-10-2025,Export Report,2068,5063
03-10-2025,Advanced Filters,1425,5063
03-10-2025,Mobile App,2805,5063
03-10-2025,API Integration,825,5063
03-10-2025,Collaborative Editing,2160,5063
04-10-2025,Dark Mode,3468,5365
04-10-2025,Export Report,2596,5365
04-10-2025,Advanced Filters,1461,5365
04-10-2025,Mobile App,3130,5365
04-10-2025,API Integration,783,5365
04-10-2025,Collaborative Editing,2298,5365
05-10-2025,Dark Mode,2968,4816
05-10-2025,Export Report,2054,4816
05-10-2025,Advanced Filters,1324,4816
05-10-2025,Mobile App,2875,4816
05-10-2025,API Integration,733,4816
05-10-2025,Collaborative Editing,1990,4816
06-10-2025,Dark Mode,3436,5078
06-10-2025,Export Report,2431,5078
06-10-2025,Advanced Filters,1443,5078
06-10-2025,Mobile App,2883,5078
06-10-2025,API Integration,745,5078
06-10-2025,Collaborative Editing,1977,5078
07-10-2025,Dark Mode,2889,4582
07-10-2025,Export Report,2011,4582
07-10-2025,Advanced Filters,1383,4582
07-10-2025,Mobile App,2268,4582
07-10-2025,API Integration,651,4582
07-10-2025,Collaborative Editing,1725,4582
08-10-2025,Dark Mode,3018,5142
08-10-2025,Export Report,2159,5142
08-10-2025,Advanced Filters,1575,5142
08-10-2025,Mobile App,2946,5142
08-10-2025,API Integration,697,5142
08-10-2025,Collaborative Editing,1866,5142
09-10-2025,Dark Mode,2685,4512
09-10-2025,Export Report,1972,4512
09-10-2025,Advanced Filters,1420,4512
09-10-2025,Mobile App,2506,4512
09-10-2025,API Integration,719,4512
09-10-2025,Collaborative Editing,1970,4512
10-10-2025,Dark Mode,3307,4892
10-10-2025,Export Report,2158,4892
10-10-2025,Advanced Filters,1343,4892
10-10-2025,Mobile App,2815,4892
10-10-2025,API Integration,750,4892
10-10-2025,Collaborative Editing,1762,4892
11-10-2025,Dark Mode,3528,5254
11-10-2025,Export Report,2262,5254
11-10-2025,Advanced Filters,1603,5254
11-10-2025,Mobile App,2939,5254
11-10-2025,API Integration,779,5254
11-10-2025,Collaborative Editing,2242,5254
12-10-2025,Dark Mode,3502,4901
12-10-2025,Export Report,2052,4901
12-10-2025,Advanced Filters,1577,4901
12-10-2025,Mobile App,2569,4901
12-10-2025,API Integration,748,4901
12-10-2025,Collaborative Editing,1962,4901
13-10-2025,Dark Mode,3151,5212
13-10-2025,Export Report,2548,5212
13-10-2025,Advanced Filters,1527,5212
13-10-2025,Mobile App,2998,5212
13-10-2025,API Integration,706,5212
13-10-2025,Collaborative Editing,1961,5212
14-10-2025,Dark Mode,3074,4780
14-10-2025,Export Report,2292,4780
14-10-2025,Advanced Filters,1377,4780
14-10-2025,Mobile App,2612,4780
14-10-2025,API Integration,684,4780
14-10-2025,Collaborative Editing,1898,4780
15-10-2025,Dark Mode,3200,4643
15-10-2025,Export Report,1983,4643
15-10-2025,Advanced Filters,1504,4643
15-10-2025,Mobile App,2763,4643
15-10-2025,API Integration,758,4643
15-10-2025,Collaborative Editing,1864,4643
16-10-2025,Dark Mode,2997,4671
16-10-2025,Export Report,2158,4671
16-10-2025,Advanced Filters,1387,4671
16-10-2025,Mobile App,2485,4671
16-10-2025,API Integration,684,4671
16-10-2025,Collaborative Editing,1772,4671
17-10-2025,Dark Mode,2783,4573
17-10-2025,Export Report,2002,4573
17-10-2025,Advanced Filters,1353,4573
17-10-2025,Mobile App,2577,4573
17-10-2025,API Integration,627,4573
17-10-2025,Collaborative Editing,1830,4573
18-10-2025,Dark Mode,2856,4820
18-10-2025,Export Report,2351,4820
18-10-2025,Advanced Filters,1554,4820
18-10-2025,Mobile App,2688,4820
18-10-2025,API Integration,652,4820
18-10-2025,Collaborative Editing,1834,4820
19-10-2025,Dark Mode,3451,5383
19-10-2025,Export Report,2414,5383
19-10-2025,Advanced Filters,1662,5383
19-10-2025,Mobile App,2675,5383
19-10-2025,API Integration,832,5383
19-10-2025,Collaborative Editing,2204,5383
20-10-2025,Dark Mode,2662,4514
20-10-2025,Export Report,2232,4514
20-10-2025,Advanced Filters,1349,4514
20-10-2025,Mobile App,2609,4514
20-10-2025,API Integration,670,4514
20-10-2025,Collaborative Editing,1640,4514
21-10-2025,Dark Mode,3408,5149
21-10-2025,Export Report,2472,5149
21-10-2025,Advanced Filters,1403,5149
21-10-2025,Mobile App,2682,5149
21-10-2025,API Integration,832,5149
21-10-2025,Collaborative Editing,1857,5149
22-10-2025,Dark Mode,3253,4552
22-10-2025,Export Report,2251,4552
22-10-2025,Advanced Filters,1281,4552
22-10-2025,Mobile App,2409,4552
22-10-2025,API Integration,680,4552
22-10-2025,Collaborative Editing,1880,4552
